Case #1: Impossible
27 2 51859
29 30 74968
1 31 362910
26 6 131245
28 25 139814
10 5 298461
16 4 238092
2 6 99726
4 22 211885
16 17 153842
16 18 254510
28 22 175946
24 20 94211
14 29 152596
16 15 280330
18 9 129575
12 3 165539
28 13 232980
6 20 166734
27 3 160853
11 12 202292
18 7 135226
18 8 174420
1 29 305444
16 8 174164
26 24 140567
19 15 174878
26 22 205313
7 5 182781
25 20 71767
31 29 152944
28 32 173600
16 1 378859
1 4 243013
12 23 71338
18 22 165308
20 5 143806
25 9 249100
5 1 278671
16 9 290044
22 30 275436
27 11 164201
29 11 211587
9 2 223969
20 17 139095
1 10 289676
21 15 183710
19 5 287024
11 2 216060
24 28 26164
6 14 115584
26 16 193404
9 12 210201
18 3 202249
24 12 80233
23 19 147470
30 27 150310
5 3 232042
10 6 194946
7 30 153753
3 15 102394
14 21 177429
6 21 61845
5 6 117534
14 27 163451
17 14 87052
11 32 138753
13 1 440218
30 4 157916
29 22 200468
20 4 94335
11 26 109933
26 21 107938
23 31 180901
21 23 19269
24 32 169387
12 26 160007
25 15 149175
26 32 28820
4 7 161733
29 13 257502
6 19 190046
6 1 305925
19 14 270445
10 23 152370
24 23 51898
1 17 399713
30 11 224864
26 18 193660
27 19 152761
31 7 217591
8 12 179247
5 27 165401
22 12 191173
23 22 133854
24 29 102901
6 18 193837
21 29 61364
24 14 210058
16 5 286202
8 10 140911
20 18 47758
27 24 57189
17 12 259269
30 5 301692
27 9 172110
15 6 194670
31 6 192491
30 2 202169
15 4 162550
9 28 194974
9 6 219977
4 14 69648
18 17 186853
14 16 240894
4 32 183309
12 28 54069
25 1 206632
17 27 207866
24 10 174638
8 25 198429
31 19 161449
7 26 125359
9 17 210546
19 28 147655
15 32 172240
5 28 202202
8 11 90693
21 11 150223
29 26 136629
8 17 94666
17 28 207142
16 28 171621
26 28 144780
23 16 126092
20 11 150672
24 11 213229
7 25 159235
29 10 71737
14 12 173705
20 22 117550
6 27 47867
8 20 126662
23 5 160110
15 30 211687
13 6 230027
25 22 45783
13 14 345611
18 29 214011
3 24 218042
30 1 286445
26 5 179057
2 25 236787
6 24 94474
23 32 117489
27 10 147079
2 32 174639
17 15 218846
12 32 188827
26 30 124902
29 12 113433
11 7 167644
13 11 346361
20 14 163983
24 25 165978
Case #177: 178
2 42 359914
29 18 407985
35 19 72264
10 2 227893
4 20 400743
24 42 438021
30 37 223966
11 3 195164
27 25 361188
1 29 276900
28 16 218218
6 19 245773
18 19 198699
23 6 594825
33 25 337759
8 26 349723
19 1 113756
24 31 282733
1 14 259572
15 37 383634
41 12 250467
25 14 204332
25 39 340112
13 14 168223
40 41 323125
6 41 251114
27 6 214531
18 37 333728
6 4 360154
30 32 263275
10 29 286641
29 19 284884
38 33 113472
24 41 247969
39 9 283639
32 5 118710
36 22 186198
35 24 243210
32 2 115036
7 24 373438
41 3 275064
2 36 124417
15 38 313691
4 30 412301
13 2 210550
13 22 118639
31 23 510592
12 1 217137
11 4 193013
2 40 303313
33 35 230206
34 3 177262
1 22 140157
37 40 182902
13 42 358342
9 33 220848
2 25 423284
33 2 321372
31 40 120581
27 21 192362
19 3 13136
11 38 81376
24 6 416719
30 36 290606
8 1 148186
40 15 229279
10 1 168865
21 30 272250
15 3 261741
3 26 310159
31 32 107540
36 9 256639
27 1 203793
28 5 134974
24 16 170708
24 9 422451
40 33 128708
31 3 214213
25 37 416196
9 37 189999
31 28 73326
8 16 203919
19 34 190398
3 1 100620
4 14 434337
5 23 419911
7 12 118928
33 7 168579
7 11 136483
9 35 248392
5 6 262929
12 24 292597
23 33 493754
18 20 357063
21 20 88732
19 15 248605
21 12 108429
3 36 136526
18 36 286687
8 38 211314
27 23 485674
23 38 443433
8 10 204001
2 26 408132
6 28 233057
40 3 160626
8 23 459679
2 20 192489
9 32 229308
1 41 297234
5 14 232061
35 21 95754
20 39 25426
35 31 194319
19 13 40741
5 38 90639
14 8 111386
18 31 169766
27 34 30691
16 34 144547
10 13 226902
22 25 287935
23 36 430383
10 36 174705
29 34 290878
13 11 186775
16 20 281711
30 38 141343
28 1 162485
4 22 274909
30 11 219288
14 21 159038
39 38 217606
27 26 285078
33 20 306398
33 31 119101
34 12 60745
33 32 226641
36 1 118890
16 4 266994
29 5 249389
21 32 8975
22 42 368583
40 25 339239
23 4 540196
14 33 336686
24 23 507375
36 19 126874
41 42 395891
34 6 183840
33 19 209204
13 15 269034
27 8 238929
24 10 311018
36 42 272209
11 6 253666
31 15 219672
25 41 257296
36 38 182018
31 22 69277
22 35 180382
42 19 399083
17 35 166592
35 20 184486
30 18 360234
1 25 365288
14 29 246787
23 21 412027
10 21 164937
24 1 284702
40 24 344708
2 6 319320
42 38 231895
11 28 144237
13 9 300248
24 33 361816
26 32 293096
20 11 207730
Case #178: 50
5 45 432860
5 49 682785
38 18 654365
35 46 696352
29 50 666555
15 3 363812
26 6 892885
20 13 564588
49 30 908734
48 4 760337
8 11 770282
15 42 306821
27 46 415226
15 41 563159
18 7 350086
33 3 914028
19 10 243501
11 29 726548
9 17 715568
27 24 990966
49 18 531902
29 41 20984
19 17 892780
29 45 513148
34 31 619080
37 3 903104
5 50 874498
32 34 632770
3 4 796128
19 42 450436
33 23 470049
17 46 714168
7 34 202587
13 50 686232
32 49 411306
19 20 401579
11 13 526247
45 49 537708
46 23 802876
13 18 780418
34 21 867452
4 7 446262
5 12 928750
8 40 128186
34 50 762219
32 24 598135
31 29 835061
8 24 632527
7 1 595438
46 12 790366
Case #179: 197
19 29 103543
24 20 55568
12 14 216736
2 26 265511
13 20 123246
27 29 54728
29 23 238768
18 26 203640
20 12 154837
2 14 122664
1 4 354056
25 31 132430
30 26 38467
14 10 317801
31 17 243985
18 15 271959
25 19 201370
14 18 222443
2 8 108229
24 31 145184
10 22 345799
5 30 117719
13 22 278508
15 5 228966
16 23 87651
15 3 205853
3 24 66418
8 12 168468
3 29 241108
11 14 114736
12 17 293524
5 3 205514
10 29 136780
31 27 102640
11 28 145980
25 24 110965
24 17 107060
2 13 177938
23 5 209603
14 29 251013
7 4 343497
30 28 88549
17 6 198228
2 10 309187
21 1 234957
14 30 239245
15 17 281554
3 21 198290
28 13 38851
30 15 288761
6 16 74024
11 22 149187
27 23 190469
7 30 33145
5 20 136926
31 7 93939
14 19 175056
14 24 87777
31 23 161773
11 1 122212
14 5 226873
25 10 174371
10 21 245538
25 28 104675
1 26 250900
20 9 101473
7 2 236608
5 19 141025
16 24 17144
10 11 260570
15 19 239212
28 23 189528
22 6 213396
21 20 118424
20 30 141730
15 1 263564
9 10 220447
27 25 119791
23 3 136925
23 7 231539
30 9 243203
2 30 227044
11 18 158734
25 15 131228
18 8 102013
18 25 180325
4 3 227389
30 3 217886
3 1 161671
16 17 124204
3 27 186380
30 1 212433
4 14 248748
8 6 58515
9 5 183408
30 23 221975
4 10 161696
22 1 217481
6 27 99994
12 11 159505
6 19 209804
6 26 215797
13 10 209798
15 28 225168
31 26 99261
22 18 256894
26 24 189935
10 6 154574
31 6 147750
28 26 127016
8 16 15509
26 25 202297
11 29 195220
23 11 43548
4 23 246890
11 24 26959
25 14 198742
4 16 310951
19 2 140294
24 2 75576
10 23 277352
1 6 152133
18 20 124928
17 21 195375
22 23 192735
5 22 261324
13 18 198394
17 5 233608
4 5 258923
27 14 196285
12 28 165328
2 23 92165
7 18 163371
13 3 216286
19 24 118636
9 27 165867
24 10 245742
22 8 154881
19 17 225696
9 17 264101
12 26 68755
15 23 191083
12 24 186464
24 30 151468
11 9 184000
14 13 237645
26 27 159198
1 5 234349
5 11 166055
11 19 91677
6 2 166744
30 13 49698
6 30 177330
28 5 59088
13 12 156920
15 9 45558
15 2 117414
21 11 166835
19 9 275677
5 25 97738
27 22 242190
1 29 234250
13 9 218461
7 11 187991
29 28 129613
9 22 279269
10 18 235950
21 22 296220
29 20 119122
3 22 188646
24 18 134666
27 19 151715
29 5 127260
11 26 216894
28 7 121694
3 6 157586
13 11 129321
27 17 227022
4 22 416035
4 2 328694
17 13 255081
29 18 139386
28 24 172939
28 2 194597
17 18 164972
19 21 179258
1 28 255812
13 4 280396
12 18 134885
8 14 120430
25 29 169257
4 8 326460
30 8 118815
9 24 157041
20 17 162628
18 27 84658
27 20 64394
Case #180: 4
3 5 43575
1 6 323454
5 6 104272
1 2 746019
Case #181: 9
6 1 214943
2 6 281648
6 5 294964
2 3 83618
4 6 701408
3 1 150323
5 4 643301
3 6 365266
4 2 419760
Case #182: Impossible
Case #183: 3
19 7 887082
15 22 681098
17 26 381915
Case #184: Impossible
Case #185: 58
23 18 513303
28 32 553064
29 26 68729
29 14 367851
33 37 822413
8 27 474759
26 5 568877
23 10 542598
22 38 662336
33 21 451152
30 18 504860
2 16 318034
24 33 531960
4 17 105045
35 33 334673
38 4 286644
28 4 153859
25 13 837181
6 38 252106
3 11 893263
12 7 180893
3 5 687927
12 34 544566
11 31 608714
9 37 780651
30 38 491984
26 27 476947
26 25 505558
10 27 438222
1 11 272101
20 19 522373
23 9 213470
22 37 512323
36 27 603089
26 17 260609
34 10 752806
23 35 606270
11 15 577845
2 21 138933
12 29 336684
33 12 492522
17 2 101095
34 24 594707
31 7 283349
35 21 172338
11 6 639760
26 6 375286
29 6 306557
22 2 379642
32 30 575593
36 21 424589
37 18 626482
33 9 606001
17 12 135828
29 28 378152
9 4 456499
8 5 224903
4 10 573418
Case #186: 79
23 20 274968
9 28 344418
20 8 410870
25 7 116524
18 28 287110
13 9 614746
11 8 594159
22 27 313323
23 26 340839
10 9 663814
3 1 168178
18 26 348700
10 3 530904
23 13 532416
28 11 202024
25 1 192917
11 14 336444
25 26 435768
24 19 46667
28 2 505547
3 20 264262
22 14 160919
18 19 216112
9 18 317536
20 22 447045
11 27 445120
27 13 432535
5 13 640204
16 25 503180
1 10 498660
7 18 190883
13 12 228298
1 5 373585
13 25 437487
25 21 151866
2 13 571983
12 2 349464
26 15 265639
12 24 235959
26 6 620968
25 23 94929
10 25 519780
19 21 370150
3 15 24350
28 13 410356
5 15 187960
22 26 415582
26 10 589080
15 9 225985
22 9 384418
12 7 371225
7 4 101091
4 27 156649
7 20 189280
12 3 328887
8 15 344183
21 16 608469
19 17 240051
2 6 384964
29 9 210218
21 6 346878
10 23 476396
9 14 223499
8 16 591253
10 16 672090
2 22 375398
22 24 329661
7 16 386656
27 20 244838
2 20 313053
12 27 402624
4 24 172987
11 2 515387
22 4 156674
10 20 347881
23 6 392416
5 27 249034
20 26 389346
26 12 243648
Case #187: 66
29 24 435171
38 1 591320
13 16 998945
27 21 981066
31 30 551113
28 36 432560
10 18 685962
9 41 550731
19 25 582327
11 26 42424
8 19 557902
6 15 800750
38 9 547725
14 19 561167
24 10 313153
36 41 529339
31 16 925047
37 40 196088
28 32 404271
30 41 353800
11 1 292496
3 16 921910
28 29 240103
30 24 461590
8 34 522997
19 4 578554
1 30 196552
11 29 330680
25 10 213158
2 27 409069
32 31 684064
4 26 200217
35 36 157892
41 25 451408
27 34 635170
16 10 946466
36 5 194237
40 19 542096
35 27 566579
30 6 711454
8 40 370665
10 31 592887
28 15 486815
16 11 775283
34 7 110252
4 29 470191
41 37 306939
17 22 693638
10 14 699277
39 13 630209
15 29 726918
8 23 44957
17 25 600137
17 32 540657
16 36 839750
23 38 465854
37 30 557579
33 18 715334
29 33 60774
34 9 501583
23 12 542894
38 18 627352
29 2 49353
2 26 337609
27 19 139703
36 3 539079
Case #188: 591
38 5 223603
13 18 109685
13 12 93554
28 29 140164
29 13 99108
16 29 99112
7 25 148161
35 23 147825
14 19 154477
12 36 176368
27 32 123944
13 15 137171
8 36 123017
1 35 128066
3 33 129334
39 2 158540
37 17 134154
10 35 52945
21 12 174956
11 22 90558
31 14 64523
6 4 44436
20 33 203761
21 17 108119
14 7 126916
26 18 160374
33 19 166437
22 7 149473
18 23 180967
7 20 203888
31 38 124181
2 24 188494
27 4 174586
16 2 200553
39 28 130580
34 13 4495
30 19 107431
22 23 148006
38 33 156597
20 18 193719
33 23 240395
15 21 65408
25 21 60198
13 25 133355
17 33 184286
38 7 130624
36 24 35778
36 16 68718
22 37 85886
29 25 72565
37 9 107874
30 8 76395
12 34 89059
34 35 143238
5 35 76989
11 34 36423
2 21 230416
21 16 116060
9 5 252922
5 23 190616
35 12 168900
14 32 104055
19 5 110312
21 35 89008
10 14 139901
39 7 167781
12 27 128148
29 10 96700
19 35 67521
3 30 32374
13 20 137138
17 35 53309
21 34 157313
11 30 77110
26 22 135112
19 34 138607
30 39 145328
10 5 95736
9 36 182508
1 33 170055
14 25 115766
24 21 132254
4 24 82000
7 23 113311
6 32 43064
6 34 88555
6 20 117321
15 16 98923
35 15 71871
7 13 73879
30 22 62973
1 11 146780
18 34 105190
5 33 203430
7 2 196154
2 8 108811
20 30 131266
6 10 78910
14 39 191063
10 20 113107
30 12 129746
34 27 130191
2 30 185206
39 12 122284
29 31 94493
1 12 176343
33 37 120949
31 34 92087
39 25 80289
5 27 183834
11 39 69648
30 16 51890
10 37 90929
12 8 53351
13 4 71002
3 14 79420
7 32 136450
23 19 80304
32 33 153969
38 24 213429
19 7 180182
31 13 96582
25 38 154824
27 2 144337
18 9 171969
3 12 127166
14 12 176792
1 34 142225
15 36 79339
19 4 63110
21 14 132339
30 23 187735
1 15 84269
26 29 158626
7 5 196340
24 20 88472
2 31 167729
11 29 140026
37 27 125327
5 15 114662
23 20 172896
11 6 63165
22 38 169677
3 39 116635
12 20 210049
14 30 82000
2 35 215454
33 27 235404
14 36 128622
34 17 128247
18 36 141025
23 36 120202
11 2 108096
14 6 68055
29 9 227898
15 30 111781
23 4 143414
1 9 210767
24 35 77444
36 10 60413
37 19 144404
39 1 201513
19 38 193535
8 18 69482
15 38 218485
26 31 149810
19 17 86632
3 32 24635
10 16 79997
13 10 125745
36 31 64099
34 37 41095
3 29 79596
24 23 84424
30 38 134594
13 39 109136
12 4 109615
13 38 140312
34 8 35708
1 18 195584
16 1 73219
34 10 121250
27 26 185214
6 21 114973
2 18 176863
39 31 127851
25 5 71601
17 31 69849
24 14 164400
7 4 144881
31 7 170461
35 33 171068
24 3 84980
18 21 164945
8 22 91273
16 14 98936
7 10 172296
38 34 144807
24 32 60345
32 26 154881
19 20 127683
3 18 130398
17 36 60777
11 31 59633
37 20 173899
2 25 186644
13 2 149014
10 22 91080
8 23 123403
17 23 140948
36 30 81576
13 11 40918
33 10 189815
15 10 90618
10 38 130689
39 9 116776
36 37 128404
4 20 100434
17 18 152668
15 8 96968
10 31 75378
1 28 106550
18 24 176803
22 17 85551
37 18 73439
2 4 194062
28 32 79310
17 11 129482
14 9 198899
22 36 79801
7 24 186972
2 12 160732
7 37 119469
9 22 164773
24 30 117354
10 25 24135
38 20 230878
22 14 110019
35 4 67741
25 22 66945
26 15 187860
39 37 74320
26 23 144657
3 37 79202
25 18 104747
2 17 234565
25 31 51243
21 37 126992
21 13 161808
37 35 120936
4 18 154733
12 5 211691
16 18 149914
8 20 168512
38 27 78807
33 9 219479
5 18 176348
37 25 115064
27 39 115964
10 28 91734
15 4 105414
23 2 104070
25 30 68720
27 1 185777
6 37 67837
14 4 105427
32 16 44151
36 3 49202
36 7 151194
34 33 152700
24 22 86592
22 4 4592
15 28 96851
24 29 121199
28 26 152539
11 23 124118
2 28 169028
38 23 129005
21 11 122320
8 7 114082
22 13 75594
38 36 178184
25 33 165680
23 6 173790
16 35 61250
5 30 116899
5 2 258245
7 18 183564
19 1 116755
24 10 96191
28 7 175729
32 5 59890
33 21 201602
13 26 59518
11 7 114797
16 6 37945
16 19 56619
4 32 50642
25 12 163028
32 11 99165
35 20 94360
20 11 169227
14 17 134372
25 27 135655
21 23 146687
29 8 139311
19 9 142610
21 19 98909
8 38 143468
31 1 87147
28 18 129699
35 13 138743
20 29 138115
30 21 128918
26 4 130520
26 12 144243
27 7 51817
24 26 166092
32 2 198355
29 22 110195
1 20 33706
27 14 75099
22 1 62136
28 20 140256
33 16 109818
15 32 54772
34 29 103603
3 23 155361
23 13 163606
37 14 128828
8 28 61647
3 28 103945
17 6 73381
19 13 134112
38 14 119590
36 29 85421
3 34 101504
9 38 191311
25 17 47921
8 5 158340
37 4 81294
11 27 120655
36 20 52694
23 16 136923
28 11 60932
11 14 124156
15 29 115626
19 12 172725
23 34 159111
29 32 60854
11 36 123732
34 25 137850
4 10 86488
15 7 191222
20 21 149170
12 33 168913
37 24 163294
11 24 159510
34 39 104641
9 20 235202
31 33 144231
18 15 165020
37 38 148855
7 3 161085
26 2 199703
39 4 142642
35 29 77953
10 21 36063
16 20 106925
17 32 36210
36 28 103877
7 1 211609
29 7 172987
9 8 103917
35 31 56631
12 32 151801
16 3 19516
17 39 86478
8 37 5387
9 23 62306
30 31 17477
16 17 74468
17 15 90982
24 27 135155
6 35 60163
29 1 171821
4 28 129952
26 36 130314
15 19 105194
34 22 80089
31 5 99422
17 5 96100
35 27 141043
19 39 119000
15 23 185498
10 18 128882
38 11 144183
39 8 68933
2 1 191145
6 31 3532
25 9 181321
20 39 167807
35 32 17099
35 11 116264
10 19 62846
28 6 122374
24 6 103409
34 4 75497
11 8 715
15 25 66483
8 19 148388
11 12 52636
9 11 103202
10 39 56154
12 18 121403
36 33 178536
32 21 71909
39 33 185925
26 25 166592
27 28 171213
19 26 193630
26 14 164865
1 26 111326
10 26 146341
21 39 92217
10 32 35846
38 17 161013
11 37 4672
19 22 67702
38 2 223144
9 28 164134
16 12 116106
39 6 131383
35 3 41734
22 18 159325
13 27 125696
19 27 128365
30 1 97560
23 31 170258
13 33 157195
4 21 122551
15 6 97836
1 17 147177
17 30 87326
26 35 171980
22 27 179178
3 8 73815
35 30 74108
33 24 185327
8 13 40203
32 34 126139
36 2 195272
31 15 94304
32 22 55234
37 5 163727
28 37 56260
5 24 120235
38 35 180812
20 15 117975
36 39 116567
28 30 136319
21 27 137680
8 24 158795
28 19 106310
25 23 119015
16 25 55862
13 28 101850
29 18 177312
27 23 61494
29 33 208930
31 16 34413
32 23 130726
33 22 107919
31 8 58918
36 32 24567
36 4 75209
22 31 45496
21 36 96476
14 29 159016
35 25 28810
37 30 81782
33 11 116277
31 19 89954
28 5 139200
29 21 132763
25 11 110392
39 15 146772
36 34 150706
26 30 138623
24 17 96555
24 9 146730
18 31 115501
38 18 201032
28 34 97355
33 8 116992
31 20 116793
29 4 105603
5 20 137151
1 6 83615
8 26 90892
11 18 68767
9 10 172930
6 3 18429
25 3 36346
10 23 110624
15 34 132676
7 34 78374
22 2 198654
1 23 148461
33 26 207884
20 14 181316
4 31 40904
8 6 62450
6 26 152568
3 15 79407
39 26 90187
31 37 64305
2 6 171261
9 15 199455
7 35 119351
34 14 100852
4 38 165085
16 11 92457
19 25 38711
36 19 74989
24 19 110767
27 10 159790
37 13 45590
34 20 141633
24 31 99877
23 37 128790
38 1 204264
31 12 112269
34 9 139625
26 17 176665
31 3 14897
38 21 166752
13 36 146211
36 6 67631
31 27 139622
5 3 84525
1 13 137730
12 22 114207
27 16 168095
3 10 60481
19 32 50422
2 20 157439
32 30 57009
19 11 149076
21 3 96544
38 28 205115
13 24 153002
22 3 30599
27 8 119940
4 11 85966
33 2 174135
27 6 143154
17 4 80959
35 8 115549
2 34 144519
35 14 121154
32 39 92000
5 36 84457
16 7 151372
16 22 11083
17 8 128767
8 4 86681
9 27 123800
28 17 115520
37 29 144698
10 17 72056
25 32 11711
28 21 127797
20 25 88972
9 6 166367
17 3 54952
3 26 156527
36 1 86400
20 26 77620
8 14 123441
15 33 208741
5 14 163945
6 33 147763
32 9 193032
9 12 50566
20 22 95842
22 35 72333
34 16 81988
39 23 54470
13 6 93050
18 19 143458
Case #189: 265
35 33 222199
32 4 274818
6 17 93588
15 24 127341
12 23 190743
15 14 120684
19 27 99229
22 27 131298
21 35 268737
21 12 232395
29 13 168914
21 2 179210
2 37 142616
1 10 189109
26 24 38729
24 22 75333
20 30 75518
24 21 161809
4 17 183889
13 25 120571
3 35 150204
26 29 93817
28 7 68816
6 34 61429
13 8 108179
28 18 56211
36 37 136311
15 34 125824
16 36 188137
9 28 46909
2 29 143477
26 1 96643
19 36 125348
28 2 99804
35 16 233886
19 31 197591
21 13 214133
7 16 163454
31 24 164372
19 18 134162
33 26 172193
7 30 84705
3 34 22348
22 33 279785
30 27 42327
1 25 65913
6 19 131650
2 5 186739
12 8 124181
7 4 154929
25 31 75877
15 32 151713
11 29 54854
34 17 90175
35 11 76728
27 24 55965
37 15 88050
10 8 163802
25 24 88495
4 5 261075
30 16 78749
28 6 58859
36 6 99482
8 24 88954
34 2 61432
27 23 105134
18 35 70791
37 32 175093
4 28 149160
34 8 61997
20 10 97622
25 14 81838
14 8 74300
4 26 140511
34 7 71386
8 7 75367
13 16 177590
27 21 143311
26 19 81993
16 1 223480
20 22 98107
24 9 35494
35 13 183868
22 23 170050
3 2 66706
33 25 180226
11 33 173715
16 34 150084
31 29 80108
20 23 71943
13 6 122645
11 26 88187
6 29 143474
26 14 32072
18 6 105174
12 25 157186
24 19 88812
16 32 223206
5 1 98561
20 11 72232
17 5 89877
25 34 86978
29 30 140183
34 33 177495
31 17 84911
30 3 48987
30 34 71335
12 18 156612
10 3 124153
25 23 137664
31 9 154318
3 8 39649
18 10 135644
37 21 216036
34 36 55127
27 14 49308
1 19 172166
14 28 75746
9 15 117287
29 25 61365
37 31 79247
1 21 219723
9 30 62798
9 19 78758
31 34 162855
10 27 130813
10 22 195729
34 19 87295
19 23 5905
5 6 173569
24 7 98343
5 9 159284
14 13 139532
24 20 22774
35 12 220483
30 12 133519
35 36 208270
24 16 177041
6 33 180908
11 36 131542
1 30 144731
13 26 113930
27 32 165000
17 13 98515
21 26 129550
35 31 128319
33 4 200211
25 11 6511
13 10 221037
10 35 206435
14 19 82155
10 9 110342
6 3 39081
35 1 107886
19 22 164145
9 2 52895
10 17 145252
19 20 66038
3 7 49038
17 2 109664
6 8 65410
18 27 72753
23 34 93200
11 37 55715
12 34 114617
25 21 185498
2 32 213497
29 7 153431
7 10 173191
14 21 155152
7 21 185689
15 12 183010
26 32 167307
10 25 123196
14 17 103894
18 2 118344
5 21 266341
7 22 173676
16 28 113804
3 21 140126
10 28 157251
13 23 195358
20 21 139035
16 19 110130
7 1 156257
6 4 155143
32 10 249085
36 3 60401
13 32 202348
36 7 109439
27 5 141148
6 30 74748
33 18 179652
31 15 101701
14 6 81729
36 25 125031
31 6 168603
18 9 90889
4 1 230684
7 26 66084
15 3 105811
37 33 118000
19 33 247716
36 2 99485
16 10 159340
29 8 136541
16 33 148599
14 22 114224
8 4 139699
7 20 75569
14 12 134917
25 37 62226
16 23 104225
16 14 143711
15 17 47880
9 1 93408
28 5 124606
37 17 71260
3 28 33098
21 19 146806
26 3 17046
7 2 115744
37 22 200548
24 12 141574
18 25 12448
20 12 118800
13 30 98841
25 6 92726
18 37 61652
10 36 156932
29 36 137172
25 16 163263
26 28 50144
18 5 68395
34 10 118879
19 35 204953
19 15 119247
21 17 185076
21 23 152711
16 3 127736
8 37 137402
9 20 12720
11 10 129707
20 35 148960
4 35 258131
6 9 52892
34 26 11772
35 22 247067
4 16 51612
13 31 183426
17 32 103833
13 9 110695
13 24 146189
11 22 170339
2 25 105896
4 18 192680
27 31 136182
1 29 4548
8 27 32989
1 33 114313
3 18 79413
7 17 103545
3 27 6660
26 36 49825
30 5 159661
Case #190: 56
24 20 601029
2 10 595465
19 28 916682
23 8 288756
23 24 485839
1 16 607684
6 2 418628
1 8 833931
29 6 464605
14 1 932018
20 8 425939
10 21 377078
8 12 754618
13 20 407127
6 11 240533
5 19 385821
16 22 247039
29 12 494892
26 20 476784
21 26 392198
9 5 421501
18 26 641649
24 1 727496
19 26 401809
29 11 458118
23 15 691567
13 6 379978
1 11 688981
2 22 206863
5 29 683643
26 10 535496
26 25 561591
6 21 603193
24 12 558082
15 27 364553
2 16 453902
8 27 361899
9 7 153065
26 9 428373
16 14 586602
7 8 532388
17 14 908245
17 16 355752
9 25 661268
17 29 622399
20 5 476734
28 16 669144
21 16 547228
18 2 337696
18 28 848849
12 10 641633
7 25 814333
23 16 553400
20 21 318366
19 23 698084
14 26 665583
Case #191: 42
14 8 270907
2 11 339846
13 14 325701
1 11 343316
17 14 363828
4 13 329899
4 16 52078
16 11 316012
3 11 318199
5 12 340626
5 4 256600
4 2 196135
15 7 462594
16 1 131460
14 16 165676
17 5 426572
1 3 48366
7 8 310514
5 15 427137
12 15 409795
5 14 370198
7 13 186819
4 6 77016
9 7 94506
12 3 367628
7 16 344135
6 7 255076
13 9 92313
16 6 129094
11 12 137337
12 2 202509
7 12 69179
14 4 113598
8 17 327281
12 8 241335
16 15 222615
2 6 273151
6 14 190614
13 15 500436
17 4 328449
15 1 249919
2 13 248032
Case #192: Impossible
Case #193: 44
3 24 167024
18 14 462612
21 2 321624
8 1 382083
7 3 345962
24 18 78633
7 13 528524
22 15 274046
8 5 423033
20 13 706837
7 23 391698
20 15 83105
16 2 668334
22 14 591864
25 13 288105
25 19 373686
6 2 629589
12 21 426564
4 23 293755
11 5 175420
21 19 355162
9 24 104560
4 2 551130
4 16 589528
20 19 182446
23 2 556115
4 25 400018
12 3 212335
18 11 145579
23 25 465069
14 13 946944
12 2 560343
25 3 288813
21 22 484395
7 17 374757
22 25 502919
23 1 359042
12 10 532340
14 11 450925
9 19 137740
7 24 178938
18 12 183215
10 6 502765
18 9 168922
Case #194: 34
5 10 751865
15 9 766781
17 12 516246
6 5 9005
20 8 669053
17 3 810458
3 20 679750
13 14 484692
12 6 227203
12 13 171214
19 15 658295
4 3 388957
18 14 193287
4 2 318403
10 2 903966
14 7 429412
5 16 465838
9 13 78575
4 7 210679
14 15 724165
16 18 773634
19 12 101815
9 6 134564
2 12 187798
20 11 457604
9 14 406117
14 10 842690
3 15 968354
8 18 818207
19 3 396027
10 16 900479
18 6 316801
10 7 743683
18 20 574722
Case #195: 88
14 33 508789
18 30 493369
6 39 688646
21 37 273336
8 29 358117
8 32 450811
8 23 68902
3 22 524188
20 15 580670
4 40 530298
24 21 199474
12 4 504502
5 11 755095
20 14 403202
28 37 444549
26 18 537355
35 11 400785
35 24 229415
19 18 288892
7 21 294308
26 16 398503
27 40 754481
26 15 363784
30 35 403365
9 28 339609
10 18 422774
7 3 424085
15 33 633869
6 35 524373
9 22 552691
17 8 263420
6 33 593433
32 39 560043
34 28 419485
11 30 531214
25 3 467601
34 30 483239
13 35 530255
19 26 347931
28 11 499616
3 39 468199
11 31 360618
35 4 136468
36 34 270879
28 33 452186
27 1 220545
11 17 490923
5 4 498964
13 2 434639
23 14 568043
27 9 494834
12 2 299928
25 39 339489
13 24 545174
29 32 460445
22 4 373387
3 40 628006
11 24 357264
29 15 476662
16 22 448452
36 4 54537
34 1 420401
13 31 490088
4 17 485549
29 6 517220
37 11 431126
20 28 464540
29 21 319288
8 19 321251
39 10 341859
17 37 376656
10 3 338988
21 32 209889
4 29 269875
12 25 493416
6 15 387700
9 37 269506
12 28 219410
25 17 512361
38 39 320904
5 22 702979
35 36 191005
21 22 479914
13 6 324973
11 7 452098
19 37 130593
18 25 555173
30 33 516906
Case #196: 137
12 18 330083
1 6 566670
18 21 177109
10 20 107477
7 16 259812
2 3 177252
17 14 299690
11 10 1918
17 13 259758
12 8 333731
7 18 208864
15 9 417793
17 20 206279
16 9 441813
17 4 190085
21 10 238148
6 16 465178
15 10 216533
8 4 383926
9 4 444569
18 4 380900
14 20 433121
18 20 361131
8 14 202969
4 11 133816
15 14 252632
15 20 180489
11 18 294306
16 12 377742
19 9 312946
21 8 359619
8 6 476463
4 14 316405
7 20 208752
20 13 242673
20 6 488901
10 8 299250
19 7 85426
18 1 329486
9 3 271834
6 10 388031
21 6 367584
12 6 430805
12 4 320963
2 17 328336
1 20 289952
